time,node_id,x,P(Pa),P(MPa),v,T(C),visc(cSt),rho
5.500000,46,46938.775510,2183639.640102,2.183640,0.363024,39.999809,31.434913,833.774864
5.500000,47,47959.183673,2122423.797880,2.122424,0.363031,39.997082,31.434913,833.739876
5.500000,48,48979.591837,2061210.568705,2.061211,0.363035,39.999801,31.434913,833.701117
5.500000,49,50000.000000,2000000.000000,2.000000,0.363036,39.997089,31.434913,833.666124
10.500000,0,0.000000,5000000.000000,5.000000,0.598790,40.000000,31.434913,835.473157
10.500000,1,1020.408163,4938750.496605,4.938750,0.598791,39.994113,31.434913,835.440271
10.500000,2,2040.816327,4877503.623732,4.877504,0.598794,39.999947,31.434913,835.399249
10.500000,3,3061.224490,4816259.336306,4.816259,0.598799,39.994165,31.434913,835.366297
10.500000,4,4081.632653,4755017.542735,4.755018,0.598806,39.999895,31.434913,835.325354
10.500000,5,5102.040816,4693778.198561,4.693778,0.598815,39.994217,31.434913,835.292335
10.500000,6,6122.448980,4632541.213721,4.632541,0.598826,39.999843,31.434913,835.251471
10.500000,7,7142.857143,4571306.545298,4.571307,0.598839,39.994268,31.434913,835.218387
10.500000,8,8163.265306,4510074.103140,4.510074,0.598853,39.999791,31.434913,835.177600
10.500000,9,9183.673469,4448843.831651,4.448844,0.598870,39.994319,31.434913,835.144450
10.500000,10,10204.081633,4387615.585274,4.387616,0.598889,39.999741,31.434913,835.103740
10.500000,11,11224.489796,4326389.156368,4.326389,0.598910,39.994369,31.434913,835.070526
10.500000,12,12244.897959,4265164.103235,4.265164,0.598932,39.999691,31.434913,835.029891
10.500000,13,13265.306122,4203939.833372,4.203940,0.598955,39.994418,31.434913,834.996611
10.500000,14,14285.714286,4142715.673130,4.142716,0.598978,39.999641,31.434913,834.956049
10.500000,15,15306.122449,4081491.265337,4.081491,0.599000,39.994467,31.434913,834.922704
10.500000,16,16326.530612,4020266.645521,4.020267,0.599023,39.999592,31.434913,834.882213
10.500000,17,17346.938776,3959042.088887,3.959042,0.599046,39.994515,31.434913,834.848804
10.500000,18,18367.346939,3897817.644070,3.897818,0.599068,39.999543,31.434913,834.808384
10.500000,19,19387.755102,3836593.183587,3.836593,0.599091,39.994563,31.434913,834.774910
10.500000,20,20408.163265,3775368.648233,3.775369,0.599114,39.999495,31.434913,834.734560
10.500000,21,21428.571429,3714144.155163,3.714144,0.599136,39.994610,31.434913,834.701024
10.500000,22,22448.979592,3652919.671670,3.652920,0.599159,39.999448,31.434913,834.660743
10.500000,23,23469.387755,3591695.176657,3.591695,0.599182,39.994657,31.434913,834.627144
10.500000,24,24489.795918,3530470.672129,3.530471,0.599204,39.999401,31.434913,834.586932
10.500000,25,25510.204082,3469246.182047,3.469246,0.599227,39.994703,31.434913,834.553272
10.500000,26,26530.612245,3408021.685921,3.408022,0.599250,39.999355,31.434913,834.513127
10.500000,27,27551.020408,3346797.200658,3.346797,0.599272,39.994748,31.434913,834.479406
10.500000,28,28571.428571,3285572.683347,3.285573,0.599295,39.999309,31.434913,834.439328
10.500000,29,29591.836735,3224348.196621,3.224348,0.599318,39.994794,31.434913,834.405547
10.500000,30,30612.244898,3163123.731131,3.163124,0.599340,39.999263,31.434913,834.365535
10.500000,31,31632.653061,3101899.210798,3.101899,0.599363,39.994838,31.434913,834.331695
